Employee{id=25, name='Edward', surname='Walker', age=35, salary=59000.0, department=SALES, isEmployeer=true, startDate=2012-06-01, email='edward.walker@example.com', phoneNumber='6789012345', position=MANAGER}
Employee{id=4, name='Emily', surname='Davis', age=30, salary=59400.00000000001, department=IT, isEmployeer=false, startDate=2013-07-19, email='emily.davis@example.com', phoneNumber='3456789012', position=JUNIOR}
Employee{id=10, name='Jennifer', surname='Taylor', age=31, salary=60500.00000000001, department=IT, isEmployeer=false, startDate=2014-08-23, email='jennifer.taylor@example.com', phoneNumber='9012345678', position=JUNIOR}
Employee{id=28, name='Donna', surname='Young', age=31, salary=59400.00000000001, department=IT, isEmployeer=false, startDate=2013-02-14, email='donna.young@example.com', phoneNumber='9012345678', position=JUNIOR}
Employee{id=30, name='Dorothy', surname='King', age=38, salary=62000.0, department=MARKETING, isEmployeer=true, startDate=2011-10-25, email='dorothy.king@example.com', phoneNumber='2345678901', position=MANAGER}
Employee{id=20, name='Matthew', surname='Robinson', age=34, salary=56000.0, department=SALES, isEmployeer=true, startDate=2011-07-07, email='matthew.robinson@example.com', phoneNumber='1234567890', position=MANAGER}
Employee{id=23, name='Brian', surname='Lewis', age=32, salary=53000.0, department=MARKETING, isEmployeer=true, startDate=2014-09-16, email='brian.lewis@example.com', phoneNumber='4567890123', position=SENIOR}
Employee{id=38, name='Betty', surname='Nelson', age=46, salary=76000.0, department=FINANCE, isEmployeer=true, startDate=2006-10-19, email='betty.nelson@example.com', phoneNumber='1234567890', position=SENIOR}
Employee{id=45, name='Raymond', surname='Parker', age=45, salary=84000.0, department=FINANCE, isEmployeer=true, startDate=2007-06-10, email='raymond.parker@example.com', phoneNumber='8901234567', position=SENIOR}
Employee{id=7, name='Robert', surname='Miller', age=39, salary=62000.0, department=HR, isEmployeer=true, startDate=2012-09-10, email='robert.miller@example.com', phoneNumber='6789012345', position=MANAGER}
Employee{id=48, name='Stephanie', surname='Collins', age=34, salary=60000.0, department=SALES, isEmployeer=true, startDate=2011-12-19, email='stephanie.collins@example.com', phoneNumber='2345678901', position=MANAGER}
Employee{id=47, name='Gerald', surname='Edwards', age=40, salary=70000.0, department=HR, isEmployeer=true, startDate=2010-02-11, email='gerald.edwards@example.com', phoneNumber='1234567890', position=MANAGER}
Employee{id=16, name='Susan', surname='Martin', age=48, salary=81000.0, department=SALES, isEmployeer=true, startDate=2005-09-30, email='susan.martin@example.com', phoneNumber='6789012346', position=SENIOR}
Employee{id=34, name='Amy', surname='Scott', age=27, salary=52800.00000000001, department=IT, isEmployeer=false, startDate=2016-08-27, email='amy.scott@example.com', phoneNumber='6789012345', position=JUNIOR}
